chapter1.example1	(quote ham)
defun.pair	((dethm atom/cons (x y) (equal (atom (cons x y)) (quote nil))) (dethm car/cons (x y) (equal (car (cons x y)) x)) (dethm cdr/cons (x y) (equal (cdr (cons x y)) y)) (dethm equal-same (x) (equal (equal x x) (quote t))) (dethm equal-swap (x y) (equal (equal x y) (equal y x))) (dethm if-same (x y) (equal (if x y y) y)) (dethm if-true (x y) (equal (if (quote t) x y) x)) (dethm if-false (x y) (equal (if (quote nil) x y) y)) (dethm if-nest-E (x y z) (if x (quote t) (equal (if x y z) z))) (dethm if-nest-A (x y z) (if x (equal (if x y z) y) (quote t))) (dethm cons/car+cdr (x) (if (atom x) (quote t) (equal (cons (car x) (cdr x)) x))) (dethm equal-if (x y) (if (equal x y) (equal x y) (quote t))) (dethm natp/size (x) (equal (natp (size x)) (quote t))) (dethm size/car (x) (if (atom x) (quote t) (equal (< (size (car x)) (size x)) (quote t)))) (dethm size/cdr (x) (if (atom x) (quote t) (equal (< (size (cdr x)) (size x)) (quote t)))) (dethm associate-+ (a b c) (equal (+ (+ a b) c) (+ a (+ b c)))) (dethm commute-+ (x y) (equal (+ x y) (+ y x))) (dethm natp/+ (x y) (if (natp x) (if (natp y) (equal (natp (+ x y)) (quote t)) (quote t)) (quote t))) (dethm positives-+ (x y) (if (< (quote 0) x) (if (< (quote 0) y) (equal (< (quote 0) (+ x y)) (quote t)) (quote t)) (quote t))) (dethm common-addends-< (x y z) (equal (< (+ x z) (+ y z)) (< x y))) (dethm identity-+ (x) (if (natp x) (equal (+ (quote 0) x) x) (quote t))) (defun list-induction (x) (if (atom x) (quote ()) (cons (car x) (list-induction (cdr x))))) (defun star-induction (x) (if (atom x) x (cons (star-induction (car x)) (star-induction (cdr x))))) (defun pair (x y) (cons x (cons y (quote ())))))
defun.first-of	((dethm atom/cons (x y) (equal (atom (cons x y)) (quote nil))) (dethm car/cons (x y) (equal (car (cons x y)) x)) (dethm cdr/cons (x y) (equal (cdr (cons x y)) y)) (dethm equal-same (x) (equal (equal x x) (quote t))) (dethm equal-swap (x y) (equal (equal x y) (equal y x))) (dethm if-same (x y) (equal (if x y y) y)) (dethm if-true (x y) (equal (if (quote t) x y) x)) (dethm if-false (x y) (equal (if (quote nil) x y) y)) (dethm if-nest-E (x y z) (if x (quote t) (equal (if x y z) z))) (dethm if-nest-A (x y z) (if x (equal (if x y z) y) (quote t))) (dethm cons/car+cdr (x) (if (atom x) (quote t) (equal (cons (car x) (cdr x)) x))) (dethm equal-if (x y) (if (equal x y) (equal x y) (quote t))) (dethm natp/size (x) (equal (natp (size x)) (quote t))) (dethm size/car (x) (if (atom x) (quote t) (equal (< (size (car x)) (size x)) (quote t)))) (dethm size/cdr (x) (if (atom x) (quote t) (equal (< (size (cdr x)) (size x)) (quote t)))) (dethm associate-+ (a b c) (equal (+ (+ a b) c) (+ a (+ b c)))) (dethm commute-+ (x y) (equal (+ x y) (+ y x))) (dethm natp/+ (x y) (if (natp x) (if (natp y) (equal (natp (+ x y)) (quote t)) (quote t)) (quote t))) (dethm positives-+ (x y) (if (< (quote 0) x) (if (< (quote 0) y) (equal (< (quote 0) (+ x y)) (quote t)) (quote t)) (quote t))) (dethm common-addends-< (x y z) (equal (< (+ x z) (+ y z)) (< x y))) (dethm identity-+ (x) (if (natp x) (equal (+ (quote 0) x) x) (quote t))) (defun list-induction (x) (if (atom x) (quote ()) (cons (car x) (list-induction (cdr x))))) (defun star-induction (x) (if (atom x) x (cons (star-induction (car x)) (star-induction (cdr x))))) (defun pair (x y) (cons x (cons y (quote ())))) (defun first-of (x) (car x)))
defun.second-of	((dethm atom/cons (x y) (equal (atom (cons x y)) (quote nil))) (dethm car/cons (x y) (equal (car (cons x y)) x)) (dethm cdr/cons (x y) (equal (cdr (cons x y)) y)) (dethm equal-same (x) (equal (equal x x) (quote t))) (dethm equal-swap (x y) (equal (equal x y) (equal y x))) (dethm if-same (x y) (equal (if x y y) y)) (dethm if-true (x y) (equal (if (quote t) x y) x)) (dethm if-false (x y) (equal (if (quote nil) x y) y)) (dethm if-nest-E (x y z) (if x (quote t) (equal (if x y z) z))) (dethm if-nest-A (x y z) (if x (equal (if x y z) y) (quote t))) (dethm cons/car+cdr (x) (if (atom x) (quote t) (equal (cons (car x) (cdr x)) x))) (dethm equal-if (x y) (if (equal x y) (equal x y) (quote t))) (dethm natp/size (x) (equal (natp (size x)) (quote t))) (dethm size/car (x) (if (atom x) (quote t) (equal (< (size (car x)) (size x)) (quote t)))) (dethm size/cdr (x) (if (atom x) (quote t) (equal (< (size (cdr x)) (size x)) (quote t)))) (dethm associate-+ (a b c) (equal (+ (+ a b) c) (+ a (+ b c)))) (dethm commute-+ (x y) (equal (+ x y) (+ y x))) (dethm natp/+ (x y) (if (natp x) (if (natp y) (equal (natp (+ x y)) (quote t)) (quote t)) (quote t))) (dethm positives-+ (x y) (if (< (quote 0) x) (if (< (quote 0) y) (equal (< (quote 0) (+ x y)) (quote t)) (quote t)) (quote t))) (dethm common-addends-< (x y z) (equal (< (+ x z) (+ y z)) (< x y))) (dethm identity-+ (x) (if (natp x) (equal (+ (quote 0) x) x) (quote t))) (defun list-induction (x) (if (atom x) (quote ()) (cons (car x) (list-induction (cdr x))))) (defun star-induction (x) (if (atom x) x (cons (star-induction (car x)) (star-induction (cdr x))))) (defun pair (x y) (cons x (cons y (quote ())))) (defun first-of (x) (car x)) (defun second-of (x) (car (cdr x))))
dethm.first-of-pair	((dethm atom/cons (x y) (equal (atom (cons x y)) (quote nil))) (dethm car/cons (x y) (equal (car (cons x y)) x)) (dethm cdr/cons (x y) (equal (cdr (cons x y)) y)) (dethm equal-same (x) (equal (equal x x) (quote t))) (dethm equal-swap (x y) (equal (equal x y) (equal y x))) (dethm if-same (x y) (equal (if x y y) y)) (dethm if-true (x y) (equal (if (quote t) x y) x)) (dethm if-false (x y) (equal (if (quote nil) x y) y)) (dethm if-nest-E (x y z) (if x (quote t) (equal (if x y z) z))) (dethm if-nest-A (x y z) (if x (equal (if x y z) y) (quote t))) (dethm cons/car+cdr (x) (if (atom x) (quote t) (equal (cons (car x) (cdr x)) x))) (dethm equal-if (x y) (if (equal x y) (equal x y) (quote t))) (dethm natp/size (x) (equal (natp (size x)) (quote t))) (dethm size/car (x) (if (atom x) (quote t) (equal (< (size (car x)) (size x)) (quote t)))) (dethm size/cdr (x) (if (atom x) (quote t) (equal (< (size (cdr x)) (size x)) (quote t)))) (dethm associate-+ (a b c) (equal (+ (+ a b) c) (+ a (+ b c)))) (dethm commute-+ (x y) (equal (+ x y) (+ y x))) (dethm natp/+ (x y) (if (natp x) (if (natp y) (equal (natp (+ x y)) (quote t)) (quote t)) (quote t))) (dethm positives-+ (x y) (if (< (quote 0) x) (if (< (quote 0) y) (equal (< (quote 0) (+ x y)) (quote t)) (quote t)) (quote t))) (dethm common-addends-< (x y z) (equal (< (+ x z) (+ y z)) (< x y))) (dethm identity-+ (x) (if (natp x) (equal (+ (quote 0) x) x) (quote t))) (defun list-induction (x) (if (atom x) (quote ()) (cons (car x) (list-induction (cdr x))))) (defun star-induction (x) (if (atom x) x (cons (star-induction (car x)) (star-induction (cdr x))))) (defun pair (x y) (cons x (cons y (quote ())))) (defun first-of (x) (car x)) (defun second-of (x) (car (cdr x))) (dethm first-of-pair (a b) (equal (first-of (pair a b)) a)))
dethm.second-of-pair	((dethm atom/cons (x y) (equal (atom (cons x y)) (quote nil))) (dethm car/cons (x y) (equal (car (cons x y)) x)) (dethm cdr/cons (x y) (equal (cdr (cons x y)) y)) (dethm equal-same (x) (equal (equal x x) (quote t))) (dethm equal-swap (x y) (equal (equal x y) (equal y x))) (dethm if-same (x y) (equal (if x y y) y)) (dethm if-true (x y) (equal (if (quote t) x y) x)) (dethm if-false (x y) (equal (if (quote nil) x y) y)) (dethm if-nest-E (x y z) (if x (quote t) (equal (if x y z) z))) (dethm if-nest-A (x y z) (if x (equal (if x y z) y) (quote t))) (dethm cons/car+cdr (x) (if (atom x) (quote t) (equal (cons (car x) (cdr x)) x))) (dethm equal-if (x y) (if (equal x y) (equal x y) (quote t))) (dethm natp/size (x) (equal (natp (size x)) (quote t))) (dethm size/car (x) (if (atom x) (quote t) (equal (< (size (car x)) (size x)) (quote t)))) (dethm size/cdr (x) (if (atom x) (quote t) (equal (< (size (cdr x)) (size x)) (quote t)))) (dethm associate-+ (a b c) (equal (+ (+ a b) c) (+ a (+ b c)))) (dethm commute-+ (x y) (equal (+ x y) (+ y x))) (dethm natp/+ (x y) (if (natp x) (if (natp y) (equal (natp (+ x y)) (quote t)) (quote t)) (quote t))) (dethm positives-+ (x y) (if (< (quote 0) x) (if (< (quote 0) y) (equal (< (quote 0) (+ x y)) (quote t)) (quote t)) (quote t))) (dethm common-addends-< (x y z) (equal (< (+ x z) (+ y z)) (< x y))) (dethm identity-+ (x) (if (natp x) (equal (+ (quote 0) x) x) (quote t))) (defun list-induction (x) (if (atom x) (quote ()) (cons (car x) (list-induction (cdr x))))) (defun star-induction (x) (if (atom x) x (cons (star-induction (car x)) (star-induction (cdr x))))) (defun pair (x y) (cons x (cons y (quote ())))) (defun first-of (x) (car x)) (defun second-of (x) (car (cdr x))) (dethm first-of-pair (a b) (equal (first-of (pair a b)) a)) (dethm second-of-pair (a b) (equal (second-of (pair a b)) b)))
defun.in-pair?	((dethm atom/cons (x y) (equal (atom (cons x y)) (quote nil))) (dethm car/cons (x y) (equal (car (cons x y)) x)) (dethm cdr/cons (x y) (equal (cdr (cons x y)) y)) (dethm equal-same (x) (equal (equal x x) (quote t))) (dethm equal-swap (x y) (equal (equal x y) (equal y x))) (dethm if-same (x y) (equal (if x y y) y)) (dethm if-true (x y) (equal (if (quote t) x y) x)) (dethm if-false (x y) (equal (if (quote nil) x y) y)) (dethm if-nest-E (x y z) (if x (quote t) (equal (if x y z) z))) (dethm if-nest-A (x y z) (if x (equal (if x y z) y) (quote t))) (dethm cons/car+cdr (x) (if (atom x) (quote t) (equal (cons (car x) (cdr x)) x))) (dethm equal-if (x y) (if (equal x y) (equal x y) (quote t))) (dethm natp/size (x) (equal (natp (size x)) (quote t))) (dethm size/car (x) (if (atom x) (quote t) (equal (< (size (car x)) (size x)) (quote t)))) (dethm size/cdr (x) (if (atom x) (quote t) (equal (< (size (cdr x)) (size x)) (quote t)))) (dethm associate-+ (a b c) (equal (+ (+ a b) c) (+ a (+ b c)))) (dethm commute-+ (x y) (equal (+ x y) (+ y x))) (dethm natp/+ (x y) (if (natp x) (if (natp y) (equal (natp (+ x y)) (quote t)) (quote t)) (quote t))) (dethm positives-+ (x y) (if (< (quote 0) x) (if (< (quote 0) y) (equal (< (quote 0) (+ x y)) (quote t)) (quote t)) (quote t))) (dethm common-addends-< (x y z) (equal (< (+ x z) (+ y z)) (< x y))) (dethm identity-+ (x) (if (natp x) (equal (+ (quote 0) x) x) (quote t))) (defun list-induction (x) (if (atom x) (quote ()) (cons (car x) (list-induction (cdr x))))) (defun star-induction (x) (if (atom x) x (cons (star-induction (car x)) (star-induction (cdr x))))) (defun pair (x y) (cons x (cons y (quote ())))) (defun first-of (x) (car x)) (defun second-of (x) (car (cdr x))) (dethm first-of-pair (a b) (equal (first-of (pair a b)) a)) (dethm second-of-pair (a b) (equal (second-of (pair a b)) b)) (defun in-pair? (xs) (if (equal (first-of xs) (quote ?)) (quote t) (equal (second-of xs) (quote ?)))))
dethm.in-first-of-pair	((dethm atom/cons (x y) (equal (atom (cons x y)) (quote nil))) (dethm car/cons (x y) (equal (car (cons x y)) x)) (dethm cdr/cons (x y) (equal (cdr (cons x y)) y)) (dethm equal-same (x) (equal (equal x x) (quote t))) (dethm equal-swap (x y) (equal (equal x y) (equal y x))) (dethm if-same (x y) (equal (if x y y) y)) (dethm if-true (x y) (equal (if (quote t) x y) x)) (dethm if-false (x y) (equal (if (quote nil) x y) y)) (dethm if-nest-E (x y z) (if x (quote t) (equal (if x y z) z))) (dethm if-nest-A (x y z) (if x (equal (if x y z) y) (quote t))) (dethm cons/car+cdr (x) (if (atom x) (quote t) (equal (cons (car x) (cdr x)) x))) (dethm equal-if (x y) (if (equal x y) (equal x y) (quote t))) (dethm natp/size (x) (equal (natp (size x)) (quote t))) (dethm size/car (x) (if (atom x) (quote t) (equal (< (size (car x)) (size x)) (quote t)))) (dethm size/cdr (x) (if (atom x) (quote t) (equal (< (size (cdr x)) (size x)) (quote t)))) (dethm associate-+ (a b c) (equal (+ (+ a b) c) (+ a (+ b c)))) (dethm commute-+ (x y) (equal (+ x y) (+ y x))) (dethm natp/+ (x y) (if (natp x) (if (natp y) (equal (natp (+ x y)) (quote t)) (quote t)) (quote t))) (dethm positives-+ (x y) (if (< (quote 0) x) (if (< (quote 0) y) (equal (< (quote 0) (+ x y)) (quote t)) (quote t)) (quote t))) (dethm common-addends-< (x y z) (equal (< (+ x z) (+ y z)) (< x y))) (dethm identity-+ (x) (if (natp x) (equal (+ (quote 0) x) x) (quote t))) (defun list-induction (x) (if (atom x) (quote ()) (cons (car x) (list-induction (cdr x))))) (defun star-induction (x) (if (atom x) x (cons (star-induction (car x)) (star-induction (cdr x))))) (defun pair (x y) (cons x (cons y (quote ())))) (defun first-of (x) (car x)) (defun second-of (x) (car (cdr x))) (dethm first-of-pair (a b) (equal (first-of (pair a b)) a)) (dethm second-of-pair (a b) (equal (second-of (pair a b)) b)) (defun in-pair? (xs) (if (equal (first-of xs) (quote ?)) (quote t) (equal (second-of xs) (quote ?)))) (dethm in-first-of-pair (b) (equal (in-pair? (pair (quote ?) b)) (quote t))))
dethm.in-second-of-pair	((dethm atom/cons (x y) (equal (atom (cons x y)) (quote nil))) (dethm car/cons (x y) (equal (car (cons x y)) x)) (dethm cdr/cons (x y) (equal (cdr (cons x y)) y)) (dethm equal-same (x) (equal (equal x x) (quote t))) (dethm equal-swap (x y) (equal (equal x y) (equal y x))) (dethm if-same (x y) (equal (if x y y) y)) (dethm if-true (x y) (equal (if (quote t) x y) x)) (dethm if-false (x y) (equal (if (quote nil) x y) y)) (dethm if-nest-E (x y z) (if x (quote t) (equal (if x y z) z))) (dethm if-nest-A (x y z) (if x (equal (if x y z) y) (quote t))) (dethm cons/car+cdr (x) (if (atom x) (quote t) (equal (cons (car x) (cdr x)) x))) (dethm equal-if (x y) (if (equal x y) (equal x y) (quote t))) (dethm natp/size (x) (equal (natp (size x)) (quote t))) (dethm size/car (x) (if (atom x) (quote t) (equal (< (size (car x)) (size x)) (quote t)))) (dethm size/cdr (x) (if (atom x) (quote t) (equal (< (size (cdr x)) (size x)) (quote t)))) (dethm associate-+ (a b c) (equal (+ (+ a b) c) (+ a (+ b c)))) (dethm commute-+ (x y) (equal (+ x y) (+ y x))) (dethm natp/+ (x y) (if (natp x) (if (natp y) (equal (natp (+ x y)) (quote t)) (quote t)) (quote t))) (dethm positives-+ (x y) (if (< (quote 0) x) (if (< (quote 0) y) (equal (< (quote 0) (+ x y)) (quote t)) (quote t)) (quote t))) (dethm common-addends-< (x y z) (equal (< (+ x z) (+ y z)) (< x y))) (dethm identity-+ (x) (if (natp x) (equal (+ (quote 0) x) x) (quote t))) (defun list-induction (x) (if (atom x) (quote ()) (cons (car x) (list-induction (cdr x))))) (defun star-induction (x) (if (atom x) x (cons (star-induction (car x)) (star-induction (cdr x))))) (defun pair (x y) (cons x (cons y (quote ())))) (defun first-of (x) (car x)) (defun second-of (x) (car (cdr x))) (dethm first-of-pair (a b) (equal (first-of (pair a b)) a)) (dethm second-of-pair (a b) (equal (second-of (pair a b)) b)) (defun in-pair? (xs) (if (equal (first-of xs) (quote ?)) (quote t) (equal (second-of xs) (quote ?)))) (dethm in-first-of-pair (b) (equal (in-pair? (pair (quote ?) b)) (quote t))) (dethm in-second-of-pair (a) (equal (in-pair? (pair a (quote ?))) (quote t))))
defun.list0?	((dethm atom/cons (x y) (equal (atom (cons x y)) (quote nil))) (dethm car/cons (x y) (equal (car (cons x y)) x)) (dethm cdr/cons (x y) (equal (cdr (cons x y)) y)) (dethm equal-same (x) (equal (equal x x) (quote t))) (dethm equal-swap (x y) (equal (equal x y) (equal y x))) (dethm if-same (x y) (equal (if x y y) y)) (dethm if-true (x y) (equal (if (quote t) x y) x)) (dethm if-false (x y) (equal (if (quote nil) x y) y)) (dethm if-nest-E (x y z) (if x (quote t) (equal (if x y z) z))) (dethm if-nest-A (x y z) (if x (equal (if x y z) y) (quote t))) (dethm cons/car+cdr (x) (if (atom x) (quote t) (equal (cons (car x) (cdr x)) x))) (dethm equal-if (x y) (if (equal x y) (equal x y) (quote t))) (dethm natp/size (x) (equal (natp (size x)) (quote t))) (dethm size/car (x) (if (atom x) (quote t) (equal (< (size (car x)) (size x)) (quote t)))) (dethm size/cdr (x) (if (atom x) (quote t) (equal (< (size (cdr x)) (size x)) (quote t)))) (dethm associate-+ (a b c) (equal (+ (+ a b) c) (+ a (+ b c)))) (dethm commute-+ (x y) (equal (+ x y) (+ y x))) (dethm natp/+ (x y) (if (natp x) (if (natp y) (equal (natp (+ x y)) (quote t)) (quote t)) (quote t))) (dethm positives-+ (x y) (if (< (quote 0) x) (if (< (quote 0) y) (equal (< (quote 0) (+ x y)) (quote t)) (quote t)) (quote t))) (dethm common-addends-< (x y z) (equal (< (+ x z) (+ y z)) (< x y))) (dethm identity-+ (x) (if (natp x) (equal (+ (quote 0) x) x) (quote t))) (defun list-induction (x) (if (atom x) (quote ()) (cons (car x) (list-induction (cdr x))))) (defun star-induction (x) (if (atom x) x (cons (star-induction (car x)) (star-induction (cdr x))))) (defun pair (x y) (cons x (cons y (quote ())))) (defun first-of (x) (car x)) (defun second-of (x) (car (cdr x))) (dethm first-of-pair (a b) (equal (first-of (pair a b)) a)) (dethm second-of-pair (a b) (equal (second-of (pair a b)) b)) (defun in-pair? (xs) (if (equal (first-of xs) (quote ?)) (quote t) (equal (second-of xs) (quote ?)))) (dethm in-first-of-pair (b) (equal (in-pair? (pair (quote ?) b)) (quote t))) (dethm in-second-of-pair (a) (equal (in-pair? (pair a (quote ?))) (quote t))) (defun list0? (x) (equal x (quote ()))))
defun.list1?	((dethm atom/cons (x y) (equal (atom (cons x y)) (quote nil))) (dethm car/cons (x y) (equal (car (cons x y)) x)) (dethm cdr/cons (x y) (equal (cdr (cons x y)) y)) (dethm equal-same (x) (equal (equal x x) (quote t))) (dethm equal-swap (x y) (equal (equal x y) (equal y x))) (dethm if-same (x y) (equal (if x y y) y)) (dethm if-true (x y) (equal (if (quote t) x y) x)) (dethm if-false (x y) (equal (if (quote nil) x y) y)) (dethm if-nest-E (x y z) (if x (quote t) (equal (if x y z) z))) (dethm if-nest-A (x y z) (if x (equal (if x y z) y) (quote t))) (dethm cons/car+cdr (x) (if (atom x) (quote t) (equal (cons (car x) (cdr x)) x))) (dethm equal-if (x y) (if (equal x y) (equal x y) (quote t))) (dethm natp/size (x) (equal (natp (size x)) (quote t))) (dethm size/car (x) (if (atom x) (quote t) (equal (< (size (car x)) (size x)) (quote t)))) (dethm size/cdr (x) (if (atom x) (quote t) (equal (< (size (cdr x)) (size x)) (quote t)))) (dethm associate-+ (a b c) (equal (+ (+ a b) c) (+ a (+ b c)))) (dethm commute-+ (x y) (equal (+ x y) (+ y x))) (dethm natp/+ (x y) (if (natp x) (if (natp y) (equal (natp (+ x y)) (quote t)) (quote t)) (quote t))) (dethm positives-+ (x y) (if (< (quote 0) x) (if (< (quote 0) y) (equal (< (quote 0) (+ x y)) (quote t)) (quote t)) (quote t))) (dethm common-addends-< (x y z) (equal (< (+ x z) (+ y z)) (< x y))) (dethm identity-+ (x) (if (natp x) (equal (+ (quote 0) x) x) (quote t))) (defun list-induction (x) (if (atom x) (quote ()) (cons (car x) (list-induction (cdr x))))) (defun star-induction (x) (if (atom x) x (cons (star-induction (car x)) (star-induction (cdr x))))) (defun pair (x y) (cons x (cons y (quote ())))) (defun first-of (x) (car x)) (defun second-of (x) (car (cdr x))) (dethm first-of-pair (a b) (equal (first-of (pair a b)) a)) (dethm second-of-pair (a b) (equal (second-of (pair a b)) b)) (defun in-pair? (xs) (if (equal (first-of xs) (quote ?)) (quote t) (equal (second-of xs) (quote ?)))) (dethm in-first-of-pair (b) (equal (in-pair? (pair (quote ?) b)) (quote t))) (dethm in-second-of-pair (a) (equal (in-pair? (pair a (quote ?))) (quote t))) (defun list0? (x) (equal x (quote ()))) (defun list1? (x) (if (atom x) (quote nil) (list0? (cdr x)))))
defun.list2?	((dethm atom/cons (x y) (equal (atom (cons x y)) (quote nil))) (dethm car/cons (x y) (equal (car (cons x y)) x)) (dethm cdr/cons (x y) (equal (cdr (cons x y)) y)) (dethm equal-same (x) (equal (equal x x) (quote t))) (dethm equal-swap (x y) (equal (equal x y) (equal y x))) (dethm if-same (x y) (equal (if x y y) y)) (dethm if-true (x y) (equal (if (quote t) x y) x)) (dethm if-false (x y) (equal (if (quote nil) x y) y)) (dethm if-nest-E (x y z) (if x (quote t) (equal (if x y z) z))) (dethm if-nest-A (x y z) (if x (equal (if x y z) y) (quote t))) (dethm cons/car+cdr (x) (if (atom x) (quote t) (equal (cons (car x) (cdr x)) x))) (dethm equal-if (x y) (if (equal x y) (equal x y) (quote t))) (dethm natp/size (x) (equal (natp (size x)) (quote t))) (dethm size/car (x) (if (atom x) (quote t) (equal (< (size (car x)) (size x)) (quote t)))) (dethm size/cdr (x) (if (atom x) (quote t) (equal (< (size (cdr x)) (size x)) (quote t)))) (dethm associate-+ (a b c) (equal (+ (+ a b) c) (+ a (+ b c)))) (dethm commute-+ (x y) (equal (+ x y) (+ y x))) (dethm natp/+ (x y) (if (natp x) (if (natp y) (equal (natp (+ x y)) (quote t)) (quote t)) (quote t))) (dethm positives-+ (x y) (if (< (quote 0) x) (if (< (quote 0) y) (equal (< (quote 0) (+ x y)) (quote t)) (quote t)) (quote t))) (dethm common-addends-< (x y z) (equal (< (+ x z) (+ y z)) (< x y))) (dethm identity-+ (x) (if (natp x) (equal (+ (quote 0) x) x) (quote t))) (defun list-induction (x) (if (atom x) (quote ()) (cons (car x) (list-induction (cdr x))))) (defun star-induction (x) (if (atom x) x (cons (star-induction (car x)) (star-induction (cdr x))))) (defun pair (x y) (cons x (cons y (quote ())))) (defun first-of (x) (car x)) (defun second-of (x) (car (cdr x))) (dethm first-of-pair (a b) (equal (first-of (pair a b)) a)) (dethm second-of-pair (a b) (equal (second-of (pair a b)) b)) (defun in-pair? (xs) (if (equal (first-of xs) (quote ?)) (quote t) (equal (second-of xs) (quote ?)))) (dethm in-first-of-pair (b) (equal (in-pair? (pair (quote ?) b)) (quote t))) (dethm in-second-of-pair (a) (equal (in-pair? (pair a (quote ?))) (quote t))) (defun list0? (x) (equal x (quote ()))) (defun list1? (x) (if (atom x) (quote nil) (list0? (cdr x)))) (defun list2? (x) (if (atom x) (quote nil) (list1? (cdr x)))))
dethm.contradiction	(quote t)
defun.list?	((dethm atom/cons (x y) (equal (atom (cons x y)) (quote nil))) (dethm car/cons (x y) (equal (car (cons x y)) x)) (dethm cdr/cons (x y) (equal (cdr (cons x y)) y)) (dethm equal-same (x) (equal (equal x x) (quote t))) (dethm equal-swap (x y) (equal (equal x y) (equal y x))) (dethm if-same (x y) (equal (if x y y) y)) (dethm if-true (x y) (equal (if (quote t) x y) x)) (dethm if-false (x y) (equal (if (quote nil) x y) y)) (dethm if-nest-E (x y z) (if x (quote t) (equal (if x y z) z))) (dethm if-nest-A (x y z) (if x (equal (if x y z) y) (quote t))) (dethm cons/car+cdr (x) (if (atom x) (quote t) (equal (cons (car x) (cdr x)) x))) (dethm equal-if (x y) (if (equal x y) (equal x y) (quote t))) (dethm natp/size (x) (equal (natp (size x)) (quote t))) (dethm size/car (x) (if (atom x) (quote t) (equal (< (size (car x)) (size x)) (quote t)))) (dethm size/cdr (x) (if (atom x) (quote t) (equal (< (size (cdr x)) (size x)) (quote t)))) (dethm associate-+ (a b c) (equal (+ (+ a b) c) (+ a (+ b c)))) (dethm commute-+ (x y) (equal (+ x y) (+ y x))) (dethm natp/+ (x y) (if (natp x) (if (natp y) (equal (natp (+ x y)) (quote t)) (quote t)) (quote t))) (dethm positives-+ (x y) (if (< (quote 0) x) (if (< (quote 0) y) (equal (< (quote 0) (+ x y)) (quote t)) (quote t)) (quote t))) (dethm common-addends-< (x y z) (equal (< (+ x z) (+ y z)) (< x y))) (dethm identity-+ (x) (if (natp x) (equal (+ (quote 0) x) x) (quote t))) (defun list-induction (x) (if (atom x) (quote ()) (cons (car x) (list-induction (cdr x))))) (defun star-induction (x) (if (atom x) x (cons (star-induction (car x)) (star-induction (cdr x))))) (defun pair (x y) (cons x (cons y (quote ())))) (defun first-of (x) (car x)) (defun second-of (x) (car (cdr x))) (dethm first-of-pair (a b) (equal (first-of (pair a b)) a)) (dethm second-of-pair (a b) (equal (second-of (pair a b)) b)) (defun in-pair? (xs) (if (equal (first-of xs) (quote ?)) (quote t) (equal (second-of xs) (quote ?)))) (dethm in-first-of-pair (b) (equal (in-pair? (pair (quote ?) b)) (quote t))) (dethm in-second-of-pair (a) (equal (in-pair? (pair a (quote ?))) (quote t))) (defun list0? (x) (equal x (quote ()))) (defun list1? (x) (if (atom x) (quote nil) (list0? (cdr x)))) (defun list2? (x) (if (atom x) (quote nil) (list1? (cdr x)))) (defun list? (x) (if (atom x) (equal x (quote ())) (list? (cdr x)))))
